QS_True200,#ofGenes
10015411,1
9957746,2
10018469,3
9893415,4
10055180,5
9980371,6
10042472,7
9919118,8
10017325,9
10094324,10
9962969,11
9909086,12
10081666,13
10237882,14
10071268,15
10005021,16
9937569,17
9833942,18
10054007,19
9991350,20
