EL_Astral200,#ofGenes
3477,1
3391,2
3386,3
3497,4
3563,5
3161,6
3553,7
3557,8
3282,9
3592,10
3204,11
3331,12
3282,13
3541,14
3405,15
3564,16
3335,17
3396,18
3429,19
3372,20
