EL_Phylonet200,#ofGenes
3144,1
3097,2
3118,3
3176,4
3237,5
2994,6
3249,7
3212,8
2990,9
3241,10
3136,11
3247,12
3178,13
3158,14
3085,15
3228,16
3093,17
3331,18
3117,19
3091,20
