QS_Phylonet50,#ofGenes
2819628,1
2858606,2
2850518,3
2770075,4
2805211,5
2805517,6
2822947,7
2824363,8
2826418,9
2838962,10
2847153,11
2810602,12
2786765,13
2833246,14
2786469,15
2805740,16
2859581,17
2767948,18
2825966,19
2778113,20
