QS_True50,#ofGenes
2820881,1
2866333,2
2840483,3
2779331,4
2802810,5
2809867,6
2818787,7
2826406,8
2828237,9
2841162,10
2844319,11
2810596,12
2785699,13
2829132,14
2780289,15
2797851,16
2861324,17
2779391,18
2833249,19
2778020,20
