QS_Phylonet200,#ofGenes
11699331,1
11811803,2
11657211,3
11645406,4
11753228,5
11820105,6
11775501,7
11708304,8
11723331,9
11756805,10
11761988,11
11689703,12
11643089,13
11716856,14
11758309,15
11782315,16
11750372,17
11639044,18
11747540,19
11781931,20
