,FNRATE_EXACT
0, 0.25
1, 0.0
2, 0.0
3, 0.125
4, 0.0
5, 0.0
6, 0.0
7, 0.0
8, 0.0
9, 0.125
10, 0.0
11, 0.125
12, 0.125
13, 0.0
14, 0.0
15, 0.125
16, 0.0
17, 0.0
18, 0.0
19, 0.0
