QS_Astral100,#ofGenes
26483,1
26728,2
26928,3
26617,4
27249,5
26196,6
26979,7
27475,8
27358,9
26597,10
26781,11
26869,12
26791,13
26474,14
25918,15
26267,16
26785,17
26591,18
26338,19
26684,20
