QS_Astral25,#ofGenes
7678,1
7667,2
7814,3
7696,4
7734,5
7668,6
7412,7
7898,8
7754,9
7626,10
7742,11
7746,12
7714,13
7754,14
7746,15
7714,16
7662,17
7790,18
7698,19
7656,20
