QS_Astral_exact5,#ofGenes
1382,1
1332,2
1332,3
1339,4
1369,5
1390,6
1326,7
1428,8
1328,9
1311,10
1340,11
1372,12
1318,13
1369,14
1378,15
1330,16
1307,17
1413,18
1408,19
2839,20
