EL_Phylonet400,#ofGenes
7707,1
7766,2
8144,3
8021,4
8042,5
7885,6
7599,7
8010,8
8016,9
7762,10
7763,11
7976,12
8069,13
8154,14
7992,15
8002,16
7874,17
7912,18
7925,19
7978,20
