QS_Astral200,#ofGenes
10539036,1
10559440,2
10566367,3
10528036,4
10617404,5
10606950,6
10550495,7
10481257,8
10614910,9
10541020,10
10582235,11
10547540,12
10520138,13
10643872,14
10613915,15
10731753,16
10374613,17
10451233,18
10585274,19
10581021,20
