EL_True200,#ofGenes
2885,1
2791,2
3021,3
2903,4
2842,5
2801,6
2741,7
2913,8
2775,9
2964,10
2794,11
2901,12
2932,13
2911,14
2912,15
2792,16
2869,17
2858,18
2854,19
2849,20
