EL_Astral200,#ofGenes
6225,1
6547,2
6765,3
6036,4
6363,5
6141,6
6085,7
6462,8
6238,9
6559,10
6308,11
6990,12
6832,13
6874,14
6149,15
6487,16
7400,17
6387,18
6535,19
6319,20
