QS_True15,#ofGenes
4196,1
3956,2
4143,3
4046,4
3949,5
4132,6
4045,7
4013,8
4164,9
4048,10
3953,11
4113,12
4165,13
4089,14
3981,15
4148,16
3964,17
3924,18
3973,19
3856,20
