EL_Astral200,#ofGenes
5930,1
6180,2
6161,3
6135,4
6396,5
6029,6
6145,7
6207,8
6092,9
5987,10
6000,11
6096,12
5781,13
5830,14
5850,15
5968,16
5628,17
6307,18
6049,19
6229,20
