QS_Phylonet25,#ofGenes
1418750,1
1413730,2
1429210,3
1380975,4
1408624,5
1435252,6
1411321,7
1436786,8
1410373,9
1413702,10
1429965,11
1412025,12
1394177,13
1433718,14
1431296,15
1372770,16
1429598,17
1363799,18
1397583,19
1378905,20
