QS_Astral25,#ofGenes
1423680,1
1422896,2
1429612,3
1392316,4
1411062,5
1442833,6
1412253,7
1440131,8
1413948,9
1419267,10
1431611,11
1414271,12
1406378,13
1436056,14
1432264,15
1373752,16
1432789,17
1374851,18
1398011,19
1383204,20
