EL_Astral400,#ofGenes
8299,1
8318,2
8788,3
8672,4
8735,5
8525,6
8169,7
8591,8
8625,9
8492,10
8386,11
8588,12
8642,13
8855,14
8616,15
8580,16
8448,17
8545,18
8550,19
8602,20
