QS_Phylonet200,#ofGenes
11618888,1
11715420,2
11570496,3
11575620,4
11739892,5
11700493,6
11704200,7
11592359,8
11666023,9
11647148,10
11642358,11
11611343,12
11555599,13
11646202,14
11650068,15
11694044,16
11656544,17
11569275,18
11640971,19
11706320,20
