QS_True200,#ofGenes
11646175,1
11729116,2
11574197,3
11603023,4
11745995,5
11721829,6
11708915,7
11603563,8
11676192,9
11646240,10
11658438,11
11623317,12
11578852,13
11652157,14
11655287,15
11709410,16
11668496,17
11581907,18
11652604,19
11709285,20
