QS_Phylonet800,#ofGenes
44954033,1
45033994,2
44931121,3
45070766,4
44847155,5
45158517,6
44976689,7
44849755,8
44907123,9
44997577,10
45143641,11
44790449,12
45033964,13
44916502,14
45021521,15
45226317,16
45239663,17
44958497,18
44996944,19
44876156,20
