QS_Phylonet400,#ofGenes
22531517,1
22535913,2
22429620,3
22391326,4
22586964,5
22609368,6
22482262,7
22334691,8
22429071,9
22568784,10
22692939,11
22440119,12
22460940,13
22497756,14
22430446,15
22419309,16
22452461,17
22452197,18
22469445,19
22528132,20
