QS_Astral200,#ofGenes
10018088,1
9966771,2
10021859,3
9896186,4
10066567,5
9980371,6
10046251,7
9933142,8
10021202,9
10094873,10
9963358,11
9909992,12
10083043,13
10239226,14
10071839,15
10006573,16
9942686,17
9835040,18
10057419,19
9994025,20
