EL_Phylonet50,#ofGenes
907,1
933,2
908,3
979,4
996,5
1027,6
967,7
970,8
999,9
963,10
897,11
969,12
1111,13
966,14
989,15
991,16
937,17
1015,18
1026,19
896,20
