QS_True25,#ofGenes
6703,1
6592,2
6494,3
6518,4
6977,5
6508,6
6680,7
6984,8
6667,9
6788,10
6560,11
6653,12
6834,13
6479,14
6833,15
6492,16
6779,17
6604,18
6703,19
6741,20
