QS_True400,#ofGenes
22580510,1
22557463,2
22435726,3
22420106,4
22615736,5
22657807,6
22566548,7
22397108,8
22512505,9
22590814,10
22726265,11
22467280,12
22515307,13
22513418,14
22478842,15
22488081,16
22539010,17
22478271,18
22543440,19
22553887,20
