QS_Astral200,#ofGenes
11647674,1
11729116,2
11574976,3
11603023,4
11746174,5
11721829,6
11709786,7
11604227,8
11676192,9
11657238,10
11658438,11
11624795,12
11584068,13
11653733,14
11655869,15
11709410,16
11668561,17
11581907,18
11652604,19
11709285,20
