EL_Phylonet200,#ofGenes
5475,1
5700,2
5649,3
5682,4
5834,5
5675,6
5667,7
5835,8
5593,9
5577,10
5624,11
5595,12
5470,13
5414,14
5506,15
5538,16
5437,17
5735,18
5641,19
5695,20
