QS_True200,#ofGenes
11714119,1
11826709,2
11676547,3
11676683,4
11786664,5
11821260,6
11780293,7
11717201,8
11736711,9
11757779,10
11775632,11
11703659,12
11660333,13
11723062,14
11765256,15
11805435,16
11762398,17
11655024,18
11753326,19
11783484,20
