QS_Astral100,#ofGenes
5639316,1
5732442,2
5664109,3
5550501,4
5631161,5
5673183,6
5677057,7
5582731,8
5615636,9
5672261,10
5646825,11
5613667,12
5606850,13
5651897,14
5630308,15
5633135,16
5679208,17
5595050,18
5618493,19
5606827,20
