EL_Phylonet200,#ofGenes
5831,1
5816,2
5887,3
5774,4
5989,5
5696,6
5854,7
6036,8
5901,9
6058,10
5912,11
5971,12
6099,13
5900,14
5955,15
5760,16
6230,17
6030,18
5867,19
5804,20
