QS_Astral100,#ofGenes
30680,1
30803,2
30814,3
30860,4
30584,5
30722,6
30374,7
31108,8
30804,9
30626,10
30612,11
31106,12
30896,13
30866,14
30788,15
31020,16
30928,17
31364,18
30970,19
30960,20
