QS_Phylonet50,#ofGenes
13005,1
13171,2
13261,3
12966,4
13667,5
12975,6
13236,7
13511,8
13779,9
12922,10
12986,11
13268,12
12972,13
12917,14
12804,15
12944,16
13560,17
13056,18
12722,19
12997,20
