QS_True50,#ofGenes
12899,1
13540,2
13458,3
13238,4
13652,5
13363,6
13541,7
13537,8
13994,9
13244,10
13301,11
13511,12
13342,13
13208,14
12959,15
13180,16
13615,17
13436,18
12928,19
13311,20
