QS_Astral200,#ofGenes
11935193,1
11919753,2
12017522,3
11963434,4
11917857,5
11982323,6
11939096,7
11962369,8
11994170,9
11884972,10
11961092,11
11901890,12
11947854,13
11877504,14
11937675,15
11983504,16
11882607,17
11902913,18
11983425,19
11997935,20
