EL_True200,#ofGenes
3480,1
3391,2
3386,3
3495,4
3563,5
3235,6
3551,7
3545,8
3284,9
3592,10
3448,11
3607,12
3507,13
3409,14
3379,15
3564,16
3390,17
3670,18
3429,19
3372,20
