EL_Astral_exact100,#ofGenes
326,1
333,2
24,3
20,4
1499,5
30,6
657,7
335,8
326,9
327,10
326,11
331,12
33,13
334,14
21,15
40,16
26,17
1503,18
23,19
1004,20
