EL_True50,#ofGenes
975,1
1001,2
973,3
1055,4
1123,5
1128,6
1097,7
1014,8
1110,9
1051,10
960,11
1023,12
1217,13
1036,14
1066,15
1070,16
992,17
1077,18
1115,19
963,20
