EL_Phylonet200,#ofGenes
2792,1
2754,2
2938,3
2821,4
2763,5
2748,6
2663,7
2815,8
2687,9
2870,10
2744,11
2820,12
2788,13
2829,14
2800,15
2720,16
2801,17
2784,18
2773,19
2756,20
