EL_True200,#ofGenes
2527,1
2462,2
2545,3
2524,4
2474,5
2400,6
2432,7
2504,8
2492,9
2549,10
2385,11
2547,12
2525,13
2535,14
2491,15
2437,16
2459,17
2458,18
2434,19
2512,20
