QS_True25,#ofGenes
1422869,1
1421929,2
1420990,3
1386933,4
1409579,5
1434418,6
1403863,7
1438566,8
1411754,9
1414472,10
1422789,11
1409553,12
1399014,13
1434508,14
1428476,15
1369491,16
1429323,17
1372789,18
1395322,19
1378376,20
