QS_Astral15,#ofGenes
4369,1
4317,2
4107,3
4488,4
4498,5
4352,6
4166,7
3939,8
4428,9
4356,10
4089,11
4339,12
4392,13
4209,14
4498,15
4621,16
4220,17
4267,18
4163,19
4410,20
