,FNRATE_EXACT
0, 0.0
1, 0.125
2, 0.125
3, 0.125
4, 0.125
5, 0.125
6, 0.0
7, 0.0
8, 0.125
9, 0.0
10, 0.0
11, 0.0
12, 0.0
13, 0.0
14, 0.0
15, 0.25
16, 0.125
17, 0.0
18, 0.0
19, 0.125
