QS_Astral15,#ofGenes
4672,1
4592,2
4714,3
4678,4
4574,5
4678,6
4514,7
4736,8
4578,9
4602,10
4560,11
4648,12
4668,13
4736,14
4612,15
4656,16
4626,17
4762,18
4614,19
4538,20
