EL_Astral200,#ofGenes
3172,1
3134,2
3254,3
3163,4
3121,5
3054,6
2932,7
3131,8
3137,9
3313,10
3045,11
3231,12
3137,13
3314,14
3162,15
3117,16
3081,17
3108,18
3164,19
3109,20
