EL_Phylonet200,#ofGenes
3031,1
3033,2
3103,3
3089,4
2988,5
2936,6
2879,7
3050,8
3004,9
3123,10
2944,11
3089,12
3012,13
3181,14
3025,15
2982,16
3006,17
3013,18
3030,19
2962,20
