QS_True5,#ofGenes
1398,1
1433,2
1392,3
1317,4
1504,5
1018,6
1277,7
1477,8
1498,9
1332,10
1339,11
1454,12
1540,13
1497,14
1474,15
1508,16
1488,17
1437,18
1520,19
1380,20
