QS_Phylonet200,#ofGenes
9989611,1
9919436,2
9980293,3
9856104,4
10030915,5
9950652,6
10007709,7
9887124,8
9996205,9
10058444,10
9944516,11
9879225,12
10049707,13
10198005,14
10040233,15
9965064,16
9905756,17
9787758,18
10018293,19
9950350,20
