QS_True200,#ofGenes
10536368,1
10559440,2
10553349,3
10527768,4
10610747,5
10603400,6
10548715,7
10478928,8
10609613,9
10525333,10
10580973,11
10546445,12
10513940,13
10640703,14
10597014,15
10728303,16
10369141,17
10450368,18
10585274,19
10580610,20
