EL_True800,#ofGenes
16820,1
16984,2
17101,3
17465,4
16730,5
16975,6
17497,7
17166,8
16966,9
17189,10
17145,11
17537,12
17010,13
17225,14
17006,15
16905,16
17086,17
17330,18
16797,19
16755,20
