,FNRATE
0, 0.25
1, 0.375
2, 0.25
3, 0.25
4, 0.0
5, 0.25
6, 0.375
7, 0.25
8, 0.125
9, 0.25
10, 0.25
11, 0.25
12, 0.25
13, 0.25
14, 0.25
15, 0.25
16, 0.125
17, 0.25
18, 0.125
19, 0.25
