EL_True100,#ofGenes
2023,1
1970,2
1994,3
2241,4
2293,5
2097,6
2124,7
2175,8
2295,9
2100,10
2111,11
2060,12
2282,13
2124,14
2198,15
2187,16
2018,17
2110,18
2140,19
2038,20
