QS_Astral50,#ofGenes
2822180,1
2867178,2
2850836,3
2779331,4
2806917,5
2810697,6
2823549,7
2826986,8
2828237,9
2842931,10
2848620,11
2816238,12
2798796,13
2837036,14
2791255,15
2808115,16
2865048,17
2782236,18
2835387,19
2780904,20
