EL_True400,#ofGenes
8299,1
8318,2
8846,3
8672,4
8698,5
8508,6
8169,7
8591,8
8615,9
8384,10
8386,11
8589,12
8642,13
8855,14
8586,15
8580,16
8421,17
8545,18
8550,19
8639,20
