,FNRATE
0, 0.25
1, 0.25
2, 0.5
3, 0.125
4, 0.375
5, 0.0
6, 0.375
7, 0.25
8, 0.125
9, 0.5
10, 0.25
11, 0.375
12, 0.5
13, 0.5
14, 0.125
15, 0.375
16, 0.0
17, 0.25
18, 0.125
19, 0.125
