QS_Phylonet200,#ofGenes
10449627,1
10501368,2
10534796,3
10472365,4
10554228,5
10547210,6
10455972,7
10420886,8
10558770,9
10469562,10
10524906,11
10450962,12
10435247,13
10611735,14
10486618,15
10663669,16
10260437,17
10360560,18
10521205,19
10545337,20
