QS_True5,#ofGenes
1602,1
1626,2
1642,3
1642,4
1634,5
1626,6
1602,7
1626,8
1602,9
1610,10
1650,11
1642,12
1650,13
1634,14
1650,15
1642,16
1650,17
1642,18
1650,19
1586,20
