EL_True200,#ofGenes
6705,1
6547,2
6590,3
6439,4
6842,5
6623,6
6536,7
6843,8
6763,9
6881,10
6808,11
6904,12
7089,13
6713,14
6693,15
6438,16
7011,17
6853,18
6535,19
6358,20
