,FNRATE_EXACT
0, 0.125
1, 0.125
2, 0.0
3, 0.0
4, 0.0
5, 0.0
6, 0.25
7, 0.125
8, 0.125
9, 0.25
10, 0.125
11, 0.125
12, 0.125
13, 0.125
14, 0.25
15, 0.0
16, 0.125
17, 0.25
18, 0.125
19, 0.375
