QS_Phylonet15,#ofGenes
4202,1
3892,2
4109,3
3962,4
3863,5
4119,6
4060,7
4021,8
4148,9
4080,10
3989,11
4148,12
4062,13
4101,14
4009,15
4127,16
3922,17
3898,18
3993,19
3912,20
