QS_Astral_exact15,#ofGenes
4217,1
3964,2
4143,3
4046,4
3949,5
4132,6
4079,7
4036,8
4170,9
4094,10
3989,11
4148,12
4168,13
4107,14
4047,15
4148,16
3965,17
3948,18
3993,19
4022,20
