QS_Phylonet50,#ofGenes
16336,1
16190,2
16380,3
16366,4
16388,5
16234,6
16152,7
16254,8
16294,9
16220,10
16292,11
16332,12
16172,13
16192,14
16238,15
16220,16
16268,17
16300,18
16348,19
16222,20
