QS_Astral_exact5,#ofGenes
1421,1
1458,2
1392,3
1321,4
1520,5
1042,6
1338,7
1477,8
1498,9
1390,10
1363,11
1502,12
1540,13
1524,14
1534,15
1508,16
1488,17
1527,18
1520,19
1411,20
